id_lector,id_libro
05-03-1970,la-desaparicion-de-los-rituales
05-03-1970,catedral
05-03-1970,no-cosas
05-03-1970,la-sociedad-del-cansancio
05-03-1970,psicopolitica
05-03-1970,llamadas-telefonicas
05-03-1970,vida-contemplativa-elogio-de-la-inactividad
05-03-1970,la-filosofia-del-budismo-zen
05-03-1970,el-aroma-del-tiempo-un-ensayo-filosofico-sobre-el-arte-de-demorarse
05-03-1970,novela-de-ajedrez
05-03-1970,aniquilacion
05-03-1970,asterix-en-helvecia
05-03-1970,2666
05-03-1970,rebelion-en-la-granja
05-03-1970,el-mundo-despues-de-gaza-una-breve-historia
05-03-1970,proleterka
05-03-1970,el-mapa-y-el-territorio
05-03-1970,ana-karenina-anna-karenina
05-03-1970,cronicas-de-gran-bretana
05-03-1970,la-posibilidad-de-una-isla
05131344k,los-nueve-reinos
05131344k,indira
05131344k,el-poder-del-perro
05131344k,el-cuarto-mono
05131344k,el-hijo-olvidado
05131344k,la-paciente-silenciosa
05131344k,las-otras-ninas
05131344k,el-secreto-de-la-asistenta
05131344k,la-novia-gitana
05131344k,el-clan
05131344k,la-quinta-victima
05131344k,los-ritos-del-agua-trilogia-de-la-ciudad-blanca-2
05131344k,ciudad-de-los-suenos
05131344k,talion-1
05131344k,un-animal-salvaje
05131344k,la-sexta-trampa
05131344k,el-mentiroso-3
05131344k,las-que-no-duermen-nash
05131344k,la-asistenta-te-vigila
05131344k,la-frontera-3
10155384625823370,el-favor
10155384625823370,el-angel-negro-4
10155384625823370,cuchillo-harry-hole-12
10155384625823370,el-reino-3
10155384625823370,eclipse-3
10155384625823370,la-verdad-sobre-el-caso-harry-quebert
10155384625823370,macbeth-6
10155384625823370,el-hombre-celoso
10155384625823370,el-heredero-6
10155384625823370,headhunters
10155384625823370,marina
10155384625823370,el-sueno-mi-larga-historia-de-amor-con-la-champions-league
10155384625823370,sol-de-sangre
10155384625823370,el-ultimo-secreto-2
10155384625823370,sangre-en-la-nieve
10155384625823370,todo-muere-todo-arde-3
10155384625823370,el-cuarto-mono
10155384625823370,cicatriz-2
10155384625823370,la-novia-gitana
10155384625823370,el-dia-que-se-perdio-la-cordura
10155485526803149,soy-pilgrim
10155485526803149,la-hermana-sombra-la-historia-de-star-las-siete-hermanas-3
10155485526803149,la-rosa-de-medianoche
10155485526803149,la-hermana-sol-la-historia-de-electra
10155485526803149,la-joven-del-acantilado
